,movieYear,count
0,1953,30
1,1903,1
2,1957,33
3,1987,153
4,1956,30
5,1936,18
6,2016,218
7,2012,233
8,1958,31
9,1943,10
10,1915,1
11,1972,39
12,1931,14
13,1988,165
14,1938,15
15,1926,5
16,1932,9
17,2017,147
18,1977,63
19,1971,47
20,2014,278
21,1984,101
22,1982,87
23,1941,18
24,2013,239
25,1919,1
26,2005,273
27,2000,283
28,1965,47
29,1962,40
30,1954,23
31,1930,5
32,1981,92
33,1940,25
34,1978,59
35,1974,45
36,1959,37
37,2002,310
38,2009,282
39,2018,41
40,1995,259
41,1964,43
42,1946,23
43,2006,295
44,1908,1
45,1927,7
46,1921,1
47,1916,4
48,1976,44
49,1942,23
50,1935,13
51,1947,20
52,1967,42
53,1968,42
54,1922,1
55,1924,5
56,2004,279
57,1989,142
58,1939,23
59,2011,254
60,1992,167
61,1961,34
62,1951,22
63,1966,42
64,2008,269
65,1955,36
66,1917,1
67,1999,263
68,1963,39
69,1994,237
70,1950,21
71,1997,260
72,1973,59
73,1925,4
74,2007,284
75,1996,276
76,1983,83
77,1969,35
78,1923,4
79,1980,89
80,1944,16
81,1960,37
82,1902,1
83,1934,11
84,1937,16
85,1948,20
86,1986,139
87,1952,16
88,1985,126
89,1929,4
90,1979,69
91,2015,274
92,2006â€“2007,1
93,1998,258
94,1993,198
95,1949,25
96,2001,294
97,,13
98,2010,247
99,1990,147
100,1991,147
101,1928,4
102,2003,279
103,1945,17
104,1975,42
105,1970,33
106,1933,12
107,1920,2
